timestamp;person position;;;person rotation;;;robot position;;;robot rotation;emotions
;x;y;z;x;y;z;x;y;z;x;y;z;Angry;Sad;Happy;Disgust;Surprise;Fear;Neutral
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;-7,951387E-16;232,3287;-1,186897E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;5,96354E-16;231,631;5,809317E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;3,975693E-16;230,9335;-1,175812E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;-1,391493E-15;230,2038;-5,659311E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;3,180555E-15;229,6819;-4,487477E-10;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;7,777451E-15;229,1434;-1,037584E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;1,43125E-14;228,6574;-7,823788E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;1,590277E-15;227,8786;-1,828895E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;-1,987847E-16;227,4171;-6,107167E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;0;227,0389;1,143954E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;7,951387E-15;226,6151;1,58348E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;7,454425E-15;226,2641;-1,786236E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;9,342879E-15;225,9148;8,529586E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;1,192708E-14;225,5548;-1,009095E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;1,411371E-14;225,3035;9,257502E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;8,647133E-15;225,033;3,0026E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;-2,186631E-15;224,7696;-5,080282E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;1,570399E-14;224,5349;-3,353033E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;7,951387E-15;224,29;-1,350559E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;1,590277E-14;223,9916;1,998566E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;-1,490885E-15;223,782;-2,543053E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;1,590277E-15;223,6103;-8,668144E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;4,770832E-15;223,4398;-7,456307E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;2,037543E-15;223,2676;-1,282086E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;4,025389E-15;223,133;-1,299531E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;2,186631E-15;222,9941;4,888562E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;3,776909E-15;222,863;-2,669081E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:41;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;1,03368E-14;222,7275;1,457903E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:41;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;8,746526E-15;222,6149;2,114075E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:41;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;1,749305E-14;222,5171;8,294321E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:41;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;5,96354E-15;222,4177;-2,784521E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:41;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;1,749305E-14;222,2741;1,302057E-08;0; 0; 0; 0; 0; 0; 0; 
